"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
2767	"— Foi que je doi saint Lienart,"	"— Pour la foi que je dois à saint Léonard,"															
2768	"Vos dites voir, sire Renart,"	"vous dites vrai, seigneur Renart,"															
2769	"Fet Primaut qui ainz n'ot savoir,"	"fait Primaut qui au contraire n'en savait rien,"															
2770	"Je cuit et croi vos dites voir."	"je crois en effet que vous dites vrai."															
2771	"Ja por ce n'ert li dez changiez,"	"Malgré cela, la chose ne sera pas changée,"	"dez"	"chose / dé"													
2772	"Mes por Dieu, car me conseilliez"	"mais pour Dieu, comme vous me le conseillez,"															
2773	"Qui me porroit corone faire."	"quelqu'un pourrait me faire une couronne."															
2774	"Ne voil pas lessier cest afaire,"	"Je ne veux pas abandonner cette affaire,"															
2775	"Ma parole m'estuet sauver,"	"ma parole doit être tenue,"	"sauver"	"tenue"													
2776	"Vespres m'estuet ici chanter,"	"je dois chanter ici, les vêpres,"															
2777	"Vegilles et messe sanz faille,"	"les matines, et la messe, à coup sûr,"	"vegilles"	"matines"													
2778	"Tot ce feré ainz que m'en aille."	"je ferai tout ça avant de partir."															
2779	"Sez tu qui coronne me face ? »"	"Connaissez-vous quelqu'un pour me faire une couronne ? »"															
2780	"Dist Renart : « Se Diex bien me face,"	"Renart dit : « Si Dieu me laisse faire,"	"se Diex bien me face"	"Si Dieu me laisse faire"													
2781	"Se je puis .I. raisoir trouver,"	"et si je peux trouver un rasoir,"															
2782	"Je vos vodré bien coronner,"	"je veux bien vous faire la tonsure,"															
2783	"Et vos metré au col l'estole"	"vous mettre l'étole au cou,"															
2784	"Tot sanz le congié l'apostole."	"tout faire, excepté la bénédiction du pape."	"Tot sanz le congié l'apostole"	"tout faire, excepté la bénédiction du pape"													
2785	"Je meïsmes d'autorité"	"Je vous accorde par mon autorité"	"Je meïsmes d'autorité"	"Je vous accorde par mon autorité"													
2786	"Vos don de chanter poesté."	"le pouvoir d'utiliser votre don de chanter."	"Vos don de chanter poesté"	"le pouvoir d'utiliser votre don de chanter"													
2787	"Ja autre evesque n'i arez,"	"Vous ne l'aurez jamais d'un autre évêque."															
2788	"Maintenant coronnez serez,"	"Vous allez immédiatement être couronné."															
2789	"Bien en puis estre vostre mestre,"	"Je peux bien être votre maître"															
2790	"Autresi fui je jadis prestre."	"puisque j'ai été prêtre jadis."															
2791	"— Vos distes voir », ce dit Primaut,"	"— Vous dites vrai », lui répond Primaut,"															
2792	"Tot maintenant en estant saut,"	"il bondit aussitôt sur ses pattes,"															
2793	"Et Renart et Primaut aussi"	"Renart aussi, et avec Primaut,"															
2794	"Par le moustier s'en vont andui,"	"tous deux s'en vont à travers l'église,"															
2795	"Si cerchent angles et fenestres."	"et se mettent à chercher dans les coins et les ouvertures."															
2796	"Et Primaut qui volt estre prestres,"	"Primaut, qui veut être prêtre,"															
2797	"Si s'en va par laiens chantant,"	"s'en va sur le côté en chantant,"															
2798	"Et par ces piliers apoiant."	"en s'appuyant sur les piliers."															
2799	"Et Renart qui mout sot de frape,"	"Renart, qui s'y connaît en ruse,"															
2800	"Garde derrier l'autel saint Jasque,"	"regarde derrière l'autel saint Jacques"															
2801	"Si a trovee une aumere"	"et trouve une armoire."															
2802	"Si con nos trovons en l'estoire."	"Comme nous le découvrons dans l'histoire,"															
2803	"Sachiez, c'est verité aperte :"	"sachez le, c'est la stricte vérité,"	"aperte"	"stricte / claire"													
2804	"Maintenant l'a Renart overte,"	"Renart l'ouvre aussitôt"															
2805	"S'a dedenz .I. rasoir trové"	"et trouve dedans un rasoir,"															
2806	"Qui mout estoit bien afilé,"	"qui est très bien affilé,"															
2807	"Et .I. cisiax et .I. bacin"	"des ciseaux et un bassin"															
2808	"De laton bon et cler et fin."	"d'un bon cuivre brillant et fin."															
2809	"Maintenant l'a saisi Renart,"	"Renart les saisit aussitôt,"															
2810	"Et Primaut dist : « Se Diex me gart,"	"et dit à Primaut : « Aussi vrai que Dieu veille sur moi,"															
2811	"Bien vos est, fet il, avenu :"	"il vous arrive de bonnes choses, fait-il,"															
2812	"Diex vos a hui cest jor veü,"	"Dieu vous a entendu aujourd'hui,"	"veü"	"entendu / vu"													
2813	"Mout fet bien vostre volenté,"	"et fait très bien vos volontés,"															
2814	"Car ostiex avon a plenté,"	"car nous avons eu plein d'hosties,"															
2815	"Cisiax bien trenchanz et bacin,"	"des ciseaux bien tranchants, un bassin,"															
2816	"Et rasoier et bon et fin ;"	"et un rasoir bon et fin,"															
2817	"Ne nos faut qu'eve solement. »"	"il ne nous manque seulement que de l'eau. »"															
2818	"Et celui qui mout poi entent"	"L'autre, qui écoute fort peu"															
2819	"A chose que Renart li die,"	"les choses que Renart lui dit,"															
2820	"Coiz se tient, si ne respont mie."	"reste silencieux, et ne répond pas."															
2821	"Renart qui mout set de mal art"	"Renart, qui s'y connaît beaucoup en malice,"															
2822	"Si regarde de l'autre part,"	"regarde alors de l'autre côté,"															
2823	"Et a pris garde tot entor,"	"puis tout autour avec attention,"															
2824	"Si a veü desouz la tor"	"et voit sous la tour,"															
2825	"Les fonz trestoz sanz coverture,"	"les fonts baptismaux sans leur couvercle."															
2826	"Si s'en torna grant aleüre,"	"Alors, il y va à toute allure,"															
2827	"Et fet grant senblant d'omelie."	"fait semblant de faire l'homélie,"															
2828	"Dedenz a le bacin puisie"	"et pisse dans le bassin"															
2829	"Au plus belement que il pot,"	"du plus bellement qu'il peut,"															
2830	"Si c'onques Primaut ne le sot."	"sans que jamais Primaut ne le voit."	"sot"	"voit / sache"													
2831	"Onques garde ne s'en donna,"	"L'autre ne prend garde à aucun moment,"															
2832	"A lui vint, si l'araisonna."	"Renart vient vers lui, et lui adresse la parole :"															
2833	"« Compains, dist il, entendez ça,"	"« Compagnon, dit-il, regardez par ici,"															
2834	"Je cuit que Diex vos aidera."	"je crois que Dieu va vous aider."															
2835	"Ce nos est venuz en souait ;"	"Ceci nous arrive à dessein,"															
2836	"Je cuit que granz vertuz i ait."	"je pense que c'est un beau miracle."	"granz vertuz"	"beau miracle"													
2837	"— Renart, par ce pouez savoir"	"— Renart, grâce à ça vous pouvez voir"															
2838	"Que Diex velt mon servise avoir,"	"que Dieu veut m'avoir à son service,"															
2839	"Et il l'avra sanz plus d'afere."	"et il l'aura sans plus de difficultés."	"afere"	"difficulté"													
2840	"Venez moi tost coronne fere."	"Venez vite me faire une tonsure."															
2841	"— Par foi, dist Renart, volentiers,"	"— Ma foi, volontiers, dit Renart,"															
2842	"Je voi bien qu'il en est mestiers. »"	"je vois bien que c'est nécessaire. »"															
2843	"Lors s'est Primaut a terre asis,"	"Alors, Primaut s'assoit par terre,"															
2844	"Et Renart l'a entre mains pris,"	"et Renart le prend entre ses mains,"															
2845	"L'eve sor la teste li rue."	"puis lui jette l'eau sur la tête."															
2846	"Cil ne dist mot ne se remue,"	"L'autre ne dit mot, ni ne bouge,"															
2847	"Ainz se tient tot qoi et en pes,"	"mais se tient tout tranquille et en silence,"	"en pes"	"en silence"													
2848	"Et dant Renart si l'avoit res"	"et seigneur Renart le rase de telle sorte"															
2849	"Que il n'i donoit pas .II. billes."	"qu'on ne lui en donnerait pas deux sous."	"Que il n'i donoit pas .II. billes"	"qu'on ne lui en donnerait pas deux sous"													
2850	"Coronne fet jusque as orilles,"	"Il fait la couronne jusqu'aux oreilles,"															
2851	"Et quant l'ot fete, si li dist :"	"et quand elle est faite, il dit lui :"															
2852	"« Primaut, fet il, se Diex m'aït,"	"« Primaut, que dieu m'assiste,"															
2853	"Tu me doiz savoir mout bon gré"	"vous devez m'être très reconnaissant"															
2854	"De ce que je t'ai coronné."	"de vous avoir fait la tonsure."															
2855	"— Si faz je, a la foi que doi."	"— Je le suis, avec toute la confiance que je vous dois."															
2856	"Ai je coronne ? — Oïl, par foi,"	"Ai-je la couronne ? — Oui, certainement,"															
2857	"Se ne m'en creez, tastez i."	"si vous ne me croyez pas, tâtez la !"															
2858	"— Mout volentiers, par saint Remi. »"	"— Très volontiers, par saint Rémi,"															
2859	"Fet Primaut, trestot souavet"	"fait Primaut, et tout délicatement,"															
2860	"Tot maintenant la main i met."	"il y met aussitôt la main. »"				"x"											
2861	"La coronne a bien tastee,"	"Primaut a bien tâté sa tonsure"			42			"x"		"La messe est dite"	"2010/08/primaut-fait-pretre-la-messe-est-dite.html"	"https://3.bp.blogspot.com/-pyZBLcLMBS4/V-_So5fh91I/AAAAAAAAHr0/dDLvh_DFiUA76rMc-tmAOuevTPL7L3EmwCLcB/s320/10d-primaut-dit-la-messe.jpg"					
2862	"Si la trouva et grant et lee,"	"et la trouve grande, large,"															
2863	"De leus en leus entrepelee,"	"bien dégarnie d'un bord à l'autre."															
2864	"Lors a grant joie demenee,"	"Alors, saisi d'une grande joie,"															
2865	"Puis li a dit : « Renart, biau mestre,"	"il lui dit : « Renart, mon cher maître,"															
2866	"Par mon chief, or sui je bon prestre."	"par ma tête, je suis un vrai prêtre à présent."															
2867	"Or ne voil je plus demorer"	"Mais je ne veux pas tarder plus,"															
2868	"Que je n'aille messe chanter. »"	"car il faut que j'aille chanter la messe. »"															
2869	"Ja n'i avra plus atendu,"	"Jamais, il n'aura attendu plus longtemps,"															
2870	"Et Renart li a respondu :"	"mais Renart lui répond :"															
2871	"« Primaut, biax amis, non feras,"	"« Primaut, cher ami, vous ne le ferez pas."															
2872	"Les sains tot avant soneras,"	"D'abord vous sonnerez les cloches,"															
2873	"Car on ne doit messe chanter"	"car on ne doit pas chanter la messe"															
2874	"Devant c'on ait les sainz sonnez."	"avant d'avoir sonné les cloches."															
2875	"Sonez les, si ne vos soit grief."	"Sonnez les, ça ne vous sera pas difficile."	"si ne vos soit grief"	"ça ne vous sera pas difficile"													
2876	"— Vos avez bien dit, par mon chief,"	"— Vous dites vrai, par ma tête,"															
2877	"Fet Primaut, je les sonneré,"	"fait Primaut, je vais les sonner,"															
2878	"Et puis aprés si chanteré. »"	"et puis après je chanterai. »"															
2879	"A tant en est venuz as sainz"	"Là-dessus, il s'en va vers les cloches"															
2880	"Si grant oirre con il pot ainz,"	"à aussi grande allure qu'il peut."															
2881	"Et les cordes corut saisir,"	"Il s'empresse de saisir les cordes"															
2882	"Les sains sonne de grant aïr"	"et sonne les cloches avec grande vigueur,"															
2883	"A glaz, a treble, a carenon."	"à glas, à trois voix, et à carillon."	"A glaz, a treble, a carenon"	"à glas, à trois voix, et à carillon"													
2884	"Et Renart a pris son giron"	"Alors Renart, qui ne pourrait se retenir de rire"															
2885	"Qui de rire ne se tenist,"	"même s'il voyait tous ses parents morts,"															
2886	"Se toz ses parenz mors veïst,"	"prend son vêtement,"															
2887	"Sa bouche en estoupe d'un pan,"	"et se bouche la gueule avec un pan."															
2888	"Puis dist : « Amis, ahan, ahan,"	"Puis il dit : « Amis, ho ! hisse ! ho ! hisse !"	"ahan"	"ho ! hisse !"													
2889	"Sachiez bien les cordes, sachiez."	"tirez bien les cordes, tirez."															
2890	"— Si faz ge, dist il, ce sachiez,"	"— C'est ce que je fais, dit l'autre, sachez que"															
2891	"Onques mes par nul ordené"	"jamais, ni par aucun prêtre,"															
2892	"Ne furent saint si bien sonné"	"des cloches ont été aussi bien sonnées"															
2893	"Conme cil seront, se je puis. »"	"que celles-ci le seront, si je le puis. »"															
2894	"Et Renart respont : « Biax amis,"	"Alors, Renart répond : « Mon cher ami,"															
2895	"Tirez les .II. cordes ensemble,"	"tirez les deux cordes ensemble,"															
2896	"Trop sonnent lentement, ce semble."	"elles sonnent trop lentement, il me semble."															
2897	"Cele eschielete par de la,"	"Cette clochette par delà,"															
2898	"Et Diex, com tres bon son ele a !"	"mon Dieu, comme elle a un très joli son !"															
2899	"Sachiez la corde, si orroiz."	"Tirez la corde, et vous l'entendrez."															
2900	"— Par foi, dist Primaut, ce est droiz. »"	"— Ma foi, dit Primaut, c'est juste. »"															
2901	"Qui donc le veïst efforcier"	"Renart, le voyant s'efforcer de la sorte"															
2902	"Les cordes tirer et sachier,"	"à tirer et retirer les cordes,"															
2903	"Ne se peüst tenir de rire,"	"n'aurait pu se retenir de rire,"															
2904	"Ja soit ce que il oïst dire"	"même s'il entendait dire"	"Ja soit ce que il oïst dire"	"même s'il entendait dire"													
